IDM:Integer;PROV_INE:Integer;MUN_INE:Integer;MUNICIPIO:String:set:size=100
1;46;46001;"Ademuz"
2;46;46002;"Ador"
3;46;46004;"Agullent"
4;46;46042;"Aielo de Malferit"
5;46;46043;"Aielo de Rugat"
6;46;46005;"Alaquàs"
7;46;46006;"Albaida"
8;46;46007;"Albal"
9;46;46008;"Albalat de la Ribera"
10;46;46009;"Albalat dels Sorells"
11;46;46010;"Albalat dels Tarongers"
12;46;46011;"Alberic"
13;46;46012;"Alborache"
14;46;46013;"Alboraia/Alboraya"
15;46;46013;"Alboraya"
16;46;46013;"Alboraia"
17;46;46014;"Albuixech"
18;46;46016;"Alcàntera de Xúquer"
19;46;46015;"Alcàsser"
20;46;46018;"Alcublas"
21;46;46020;"Alcúdia de Crespins, l'"
22;46;46020;"Alcúdia de Crespins (l')"
23;46;46019;"Alcúdia, l'"
24;46;46019;"Alcúdia (l')"
25;46;46021;"Aldaia"
26;46;46022;"Alfafar"
27;46;46024;"Alfara de la Baronia"
28;46;46025;"Alfara del Patriarca"
29;46;46026;"Alfarp"
30;46;46027;"Alfarrasí"
31;46;46023;"Alfauir"
32;46;46028;"Algar de Palancia"
33;46;46029;"Algemesí"
34;46;46030;"Algímia d'Alfara"
35;46;46030;"Algimia de Alfara"
36;46;46031;"Alginet"
37;46;46032;"Almàssera"
38;46;46033;"Almiserà"
39;46;46034;"Almoines"
40;46;46035;"Almussafes"
41;46;46036;"Alpuente"
42;46;46037;"Alqueria de la Comtessa, l'"
43;46;46037;"Alqueria de la Comtessa (l')"
44;46;46017;"Alzira"
45;46;46038;"Andilla"
46;46;46039;"Anna"
47;46;46040;"Antella"
48;46;46041;"Aras de los Olmos"
49;46;46003;"Atzeneta d'Albaida"
50;46;46044;"Ayora"
51;46;46046;"Barx"
52;46;46045;"Barxeta"
53;46;46047;"Bèlgida"
54;46;46048;"Bellreguard"
55;46;46049;"Bellús"
56;46;46050;"Benagéber"
57;46;46051;"Benaguasil"
58;46;46052;"Benavites"
59;46;46053;"Beneixida"
60;46;46054;"Benetússer"
61;46;46055;"Beniarjó"
62;46;46056;"Beniatjar"
63;46;46057;"Benicolet"
64;46;46904;"Benicull de Xúquer"
65;46;46060;"Benifaió"
66;46;46059;"Benifairó de la Valldigna"
67;46;46058;"Benifairó de les Valls"
68;46;46061;"Beniflá"
69;46;46062;"Benigànim"
70;46;46063;"Benimodo"
71;46;46064;"Benimuslem"
72;46;46065;"Beniparrell"
73;46;46066;"Benirredrà"
74;46;46067;"Benissanó"
75;46;46068;"Benissoda"
76;46;46069;"Benissuera"
77;46;46070;"Bétera"
78;46;46071;"Bicorp"
79;46;46072;"Bocairent"
80;46;46073;"Bolbaite"
81;46;46074;"Bonrepòs i Mirambell"
82;46;46075;"Bufali"
83;46;46076;"Bugarra"
84;46;46077;"Buñol"
85;46;46078;"Burjassot"
86;46;46079;"Calles"
87;46;46080;"Camporrobles"
88;46;46081;"Canals"
89;46;46082;"Canet d'En Berenguer"
90;46;46083;"Carcaixent"
91;46;46084;"Càrcer"
92;46;46085;"Carlet"
93;46;46086;"Carrícola"
94;46;46087;"Casas Altas"
95;46;46088;"Casas Bajas"
96;46;46089;"Casinos"
97;46;46090;"Castelló de Rugat"
98;46;46091;"Castellonet de la Conquesta"
99;46;46092;"Castielfabib"
100;46;46093;"Catadau"
101;46;46094;"Catarroja"
102;46;46095;"Caudete de las Fuentes"
103;46;46096;"Cerdà"
104;46;46107;"Chella"
105;46;46106;"Chelva"
106;46;46108;"Chera"
107;46;46109;"Cheste"
108;46;46111;"Chiva"
109;46;46112;"Chulilla"
110;46;46097;"Cofrentes"
111;46;46098;"Corbera"
112;46;46099;"Cortes de Pallás"
113;46;46100;"Cotes"
114;46;46105;"Cullera"
115;46;46113;"Daimús"
116;46;46114;"Domeño"
117;46;46115;"Dos Aguas"
118;46;46116;"Eliana, l'"
119;46;46116;"Eliana (l')"
120;46;46117;"Emperador"
121;46;46118;"Enguera"
122;46;46119;"Ènova, l'"
123;46;46119;"Ènova (l')"
124;46;46120;"Estivella"
125;46;46121;"Estubeny"
126;46;46122;"Faura"
127;46;46123;"Favara"
128;46;46126;"Foios"
129;46;46128;"Font de la Figuera, la"
130;46;46128;"Font de la Figuera (la)"
131;46;46127;"Font d'En Carròs, la"
132;46;46127;"Font d'En Carròs (la)"
133;46;46124;"Fontanars dels Alforins"
134;46;46125;"Fortaleny"
135;46;46129;"Fuenterrobles"
136;46;46131;"Gandia"
137;46;46902;"Gátova"
138;46;46130;"Gavarda"
139;46;46132;"Genovés, el"
140;46;46132;"Genovés (el)"
141;46;46132;"Genovés"
142;46;46133;"Gestalgar"
143;46;46134;"Gilet"
144;46;46135;"Godella"
145;46;46136;"Godelleta"
146;46;46137;"Granja de la Costera, la"
147;46;46137;"Granja de la Costera (la)"
148;46;46138;"Guadasséquies"
149;46;46139;"Guadassuar"
150;46;46140;"Guardamar de la Safor"
151;46;46141;"Higueruelas"
152;46;46142;"Jalance"
153;46;46144;"Jarafuel"
154;46;46154;"Llanera de Ranes"
155;46;46155;"Llaurí"
156;46;46147;"Llíria"
157;46;46152;"Llocnou de la Corona"
158;46;46153;"Llocnou de Sant Jeroni"
159;46;46151;"Llocnou d'En Fenollet"
160;46;46156;"Llombai"
161;46;46157;"Llosa de Ranes, la"
162;46;46157;"Llosa de Ranes (la)"
163;46;46150;"Llutxent"
164;46;46148;"Loriguilla"
165;46;46149;"Losa del Obispo"
166;46;46158;"Macastre"
167;46;46159;"Manises"
168;46;46160;"Manuel"
169;46;46161;"Marines"
170;46;46162;"Massalavés"
171;46;46163;"Massalfassar"
172;46;46164;"Massamagrell"
173;46;46165;"Massanassa"
174;46;46166;"Meliana"
175;46;46167;"Millares"
176;46;46168;"Miramar"
177;46;46169;"Mislata"
178;46;46170;"Mogente/Moixent"
179;46;46170;"Mogente"
180;46;46170;"Moixent"
181;46;46171;"Moncada"
182;46;46173;"Montaverner"
183;46;46174;"Montesa"
184;46;46175;"Montitxelvo/Montichelvo"
185;46;46175;"Montitxelvo"
186;46;46175;"Montichelvo"
187;46;46176;"Montroi/Montroy"
188;46;46176;"Montroi"
189;46;46176;"Montroy"
190;46;46172;"Montserrat"
191;46;46177;"Museros"
192;46;46178;"Nàquera/Náquera"
193;46;46178;"Nàquera"
194;46;46178;"Náquera"
195;46;46179;"Navarrés"
196;46;46180;"Novelé/Novetlè"
197;46;46180;"Novelé"
198;46;46180;"Novetlè"
199;46;46181;"Oliva"
200;46;46183;"Olleria, l'"
201;46;46183;"Olleria (l')"
202;46;46182;"Olocau"
203;46;46184;"Ontinyent"
204;46;46185;"Otos"
205;46;46186;"Paiporta"
206;46;46187;"Palma de Gandía"
207;46;46188;"Palmera"
208;46;46189;"Palomar, el"
209;46;46189;"Palomar (el)"
210;46;46190;"Paterna"
211;46;46191;"Pedralba"
212;46;46192;"Petrés"
213;46;46193;"Picanya"
214;46;46194;"Picassent"
215;46;46195;"Piles"
216;46;46196;"Pinet"
217;46;46199;"Pobla de Farnals, la"
218;46;46199;"Pobla de Farnals (la)"
219;46;46202;"Pobla de Vallbona, la"
220;46;46202;"Pobla de Vallbona (la)"
221;46;46200;"Pobla del Duc, la"
222;46;46200;"Pobla del Duc (la)"
223;46;46203;"Pobla Llarga, la"
224;46;46203;"Pobla Llarga (la)"
225;46;46197;"Polinyà de Xúquer"
226;46;46198;"Potries"
227;46;46205;"Puçol"
228;46;46201;"Puebla de San Miguel"
229;46;46204;"Puig de Santa Maria, el"
230;46;46204;"Puig de Santa Maria (el)"
231;46;46101;"Quart de les Valls"
232;46;46102;"Quart de Poblet"
233;46;46103;"Quartell"
234;46;46104;"Quatretonda"
235;46;46206;"Quesa"
236;46;46207;"Rafelbunyol"
237;46;46208;"Rafelcofer"
238;46;46209;"Rafelguaraf"
239;46;46210;"Ráfol de Salem"
240;46;46212;"Real"
241;46;46211;"Real de Gandia, el"
242;46;46211;"Real de Gandia (el)"
243;46;46213;"Requena"
244;46;46214;"Riba-roja de Túria"
245;46;46215;"Riola"
246;46;46216;"Rocafort"
247;46;46217;"Rotglà i Corberà"
248;46;46218;"Rótova"
249;46;46219;"Rugat"
250;46;46220;"Sagunto/Sagunt"
251;46;46220;"Sagunto"
252;46;46220;"Sagunt"
253;46;46221;"Salem"
254;46;46903;"San Antonio de Benagéber"
255;46;46222;"Sant Joanet"
